tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	868	0	live	CBLB	Cbl-b, Nbla00127, RNF56	Cbl proto-oncogene B	E3 ubiquitin-protein ligase CBL-B|Cas-Br-M (murine) ecotropic retroviral transforming sequence b|Cbl proto-oncogene B, E3 ubiquitin protein ligase|Cbl proto-oncogene, E3 ubiquitin protein ligase B|RING finger protein 56|RING-type E3 ubiquitin transferase CBL-B|SH3-binding protein CBL-B|casitas B-lineage lymphoma proto-oncogene b|signal transduction protein CBL-B	3q13.11	3	NC_000003.12	105655461	105869552	minus	31	604491	
9606	Homo sapiens	1398	0	live	CRK	CRKII, p38	CRK proto-oncogene, adaptor protein	adapter molecule crk|proto-oncogene c-Crk|v-crk avian sarcoma virus CT10 oncogene homolog|v-crk sarcoma virus CT10 oncogene-like protein	17p13.3	17	NC_000017.11	1421353	1456267	minus	3	164762	
9606	Homo sapiens	1399	0	live	CRKL		CRK like proto-oncogene, adaptor protein	crk-like protein|v-crk avian sarcoma virus CT10 oncogene homolog-like	22q11.21	22	NC_000022.11	20917398	20953749	plus	4	602007	
9606	Homo sapiens	1977	0	live	EIF4E	AUTS19, CBP1, EIF4EL1, EIF4F, eIF-4E, EIF4E	eukaryotic translation initiation factor 4E	eukaryotic translation initiation factor 4E|eIF-4F 25 kDa subunit|eukaryotic translation initiation factor 4E-like 1|mRNA cap-binding protein	4q23	4	NC_000004.12	98878456	98930635	minus	10	133440	
9606	Homo sapiens	1978	0	live	EIF4EBP1	4E-BP1, 4EBP1, BP-1, PHAS-I	eukaryotic translation initiation factor 4E binding protein 1	eukaryotic translation initiation factor 4E-binding protein 1|eIF4E-binding protein 1|phosphorylated heat- and acid-stable protein regulated by insulin 1	8p11.23	8	NC_000008.11	38030502	38060365	plus	3	602223	
9606	Homo sapiens	2002	0	live	ELK1		ELK1, ETS transcription factor	ETS domain-containing protein Elk-1|ELK1, member of ETS oncogene family|ETS-like gene 1|tyrosine kinase (ELK1) oncogene	Xp11.23	X	NC_000023.11	47635520	47650604	minus	7	311040	
9606	Homo sapiens	2194	0	live	FASN	FAS, OA-519, SDR27X1	fatty acid synthase	fatty acid synthase|short chain dehydrogenase/reductase family 27X, member 1	17q25.3	17	NC_000017.11	82078338	82098303	minus	43	600212	
9606	Homo sapiens	2203	0	live	FBP1	FBP	fructose-bisphosphatase 1	fructose-1,6-bisphosphatase 1|D-fructose-1,6-bisphosphate 1-phosphohydrolase 1|FBPase 1|growth-inhibiting protein 17|liver FBPase	9q22.32	9	NC_000009.12	94603133	94640257	minus	8	611570	
9606	Homo sapiens	2308	0	live	FOXO1	FKH1, FKHRA, FOXO1	forkhead box O1	forkhead box protein O1|forkhead box protein O1A|forkhead, Drosophila, homolog of, in rhabdomyosarcoma	13q14.11	13	NC_000013.11	40555664	40666597	minus	5	136533	
9606	Homo sapiens	2319	0	live	FLOT2	ECS-1, ECS1, ESA, ESA1, M17S1	flotillin 2	flotillin-2|Flotillin 2 (epidermal surface antigen 1)|epidermal surface antigen|membrane component chromosome 17 surface marker 1|membrane component, chromosome 17, surface marker 1 (35kD protein identified by monoclonal antibody ECS-1)	17q11.2	17	NC_000017.11	28879339	28897728	minus	13	131560	
9606	Homo sapiens	2475	0	live	MTOR	FRAP, FRAP1, FRAP2, RAFT1, RAPT1, SKS	mechanistic target of rapamycin kinase	serine/threonine-protein kinase mTOR|FK506 binding protein 12-rapamycin associated protein 2|FK506-binding protein 12-rapamycin complex-associated protein 1|FKBP-rapamycin associated protein|FKBP12-rapamycin complex-associated protein 1|mammalian target of rapamycin|mechanistic target of rapamycin (serine/threonine kinase)|rapamycin and FKBP12 target 1|rapamycin associated protein FRAP2|rapamycin target protein 1	1p36.22	1	NC_000001.11	11106531	11262551	minus	59	601231	
9606	Homo sapiens	2538	0	live	G6PC	G6PC1, G6PT, G6Pase, GSD1, GSD1a	glucose-6-phosphatase catalytic subunit	glucose-6-phosphatase|G-6-Pase|G6Pase-alpha|glucose-6-phosphatase alpha	17q21.31	17	NC_000017.11	42900797	42914433	plus	5	613742	
9606	Homo sapiens	2645	0	live	GCK	FGQTL3, GK, GLK, HHF3, HK4, HKIV, HXKP, LGLK, MODY2	glucokinase	glucokinase|ATP:D-hexose 6-phosphotransferase|HK IV|glucokinase (hexokinase 4)|hexokinase D, pancreatic isozyme|hexokinase type IV	7p13	7	NC_000007.14	44143213	44189439	minus	13	138079	
9606	Homo sapiens	2872	0	live	MKNK2	GPRK7, MNK2	MAP kinase interacting serine/threonine kinase 2	MAP kinase-interacting serine/threonine-protein kinase 2|G protein-coupled receptor kinase 7|MAP kinase signal-integrating kinase 2|MAPK signal-integrating kinase 2	19p13.3	19	NC_000019.10	2037471	2051244	minus	14	605069	
9606	Homo sapiens	2885	0	live	GRB2	ASH, EGFRBP-GRB2, Grb3-3, MST084, MSTP084, NCKAP2	growth factor receptor bound protein 2	growth factor receptor-bound protein 2|HT027|SH2/SH3 adapter GRB2|abundant SRC homology|epidermal growth factor receptor-binding protein GRB2|growth factor receptor-bound protein 3|protein Ash	17q25.1	17	NC_000017.11	75318076	75405709	minus	6	108355	
9606	Homo sapiens	2889	0	live	RAPGEF1	C3G, GRF2	Rap guanine nucleotide exchange factor 1	rap guanine nucleotide exchange factor 1|CRK SH3-binding GNRP|Rap guanine nucleotide exchange factor (GEF) 1|guanine nucleotide-releasing factor 2 (specific for crk proto-oncogene)	9q34.13	9	NC_000009.12	131576770	131740068	minus	36	600303	
9606	Homo sapiens	2932	0	live	GSK3B		glycogen synthase kinase 3 beta	glycogen synthase kinase-3 beta|GSK-3 beta|GSK3beta isoform|serine/threonine-protein kinase GSK3B	3q13.33	3	NC_000003.12	119821321	120094417	minus	12	605004	
9606	Homo sapiens	2997	0	live	GYS1	GSY, GYS	glycogen synthase 1	glycogen [starch] synthase, muscle|glycogen synthase 1 (muscle)	19q13.33	19	NC_000019.10	48968125	48993353	minus	16	138570	
9606	Homo sapiens	2998	0	live	GYS2		glycogen synthase 2	glycogen [starch] synthase, liver|glycogen synthase 2 (liver)	12p12.1	12	NC_000012.12	21536189	21604858	minus	18	138571	
9606	Homo sapiens	3098	0	live	HK1	HK-ta, HK1-tb, HK1-tc, HKD, HKI, HMSNR, HXK1, RP79, hexokinase, HK1	hexokinase 1	hexokinase-1|brain form hexokinase|glycolytic enzyme|hexokinase IR|hexokinase type I	10q22.1	10	NC_000010.11	69270000	69401882	plus	28	142600	
9606	Homo sapiens	3099	0	live	HK2	HKII, HXK2	hexokinase 2	hexokinase-2|HK II|hexokinase type II|hexokinase-2, muscle|muscle form hexokinase	2p12	2	NC_000002.12	74832655	74893354	plus	18	601125	
9606	Homo sapiens	3101	0	live	HK3	HKIII, HXK3	hexokinase 3	hexokinase-3|ATP:D-hexose 6-phosphotransferase|HK III|hexokinase 3 (white cell)|hexokinase type III	5q35.2	5	NC_000005.10	176880869	176899373	minus	22	142570	
9606	Homo sapiens	3265	0	live	HRAS	C-BAS/HAS, C-H-RAS, C-HA-RAS1, CTLO, H-RASIDX, HAMSV1, RASH1, p21ras, HRAS	HRas proto-oncogene, GTPase	GTPase HRas|GTP- and GDP-binding peptide B|Ha-Ras1 proto-oncoprotein|Harvey rat sarcoma viral oncogene homolog|Harvey rat sarcoma viral oncoprotein|Ras family small GTP binding protein H-Ras|c-has/bas p21 protein|c-ras-Ki-2 activated oncogene|p19 H-RasIDX protein|transformation gene: oncogene HAMSV|transforming protein p21|v-Ha-ras Harvey rat sarcoma viral oncogene homolog	11p15.5	11	NC_000011.10	532242	535567	minus	7	190020	
9606	Homo sapiens	3551	0	live	IKBKB	IKK-beta, IKK2, IKKB, IMD15, NFKBIKB	inhibitor of nuclear factor kappa B kinase subunit beta	inhibitor of nuclear factor kappa-B kinase subunit beta|I-kappa-B kinase 2|I-kappa-B-kinase beta|IKK-B|inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta|nuclear factor NF-kappa-B inhibitor kinase beta	8p11.21	8	NC_000008.11	42271302	42332653	plus	24	603258	
9606	Homo sapiens	3630	0	live	INS	IDDM, IDDM1, IDDM2, ILPR, IRDN, MODY10	insulin	insulin|preproinsulin|proinsulin	11p15.5	11	NC_000011.10	2159779	2161209	minus	3	176730	
9606	Homo sapiens	3636	0	live	INPPL1	OPSMD, SHIP2	inositol polyphosphate phosphatase like 1	phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2|51C protein|INPPL-1|SH2 domain-containing inositol-5'-phosphatase 2|SHIP-2|protein 51C	11q13.4	11	NC_000011.10	72223861	72239147	plus	30	600829	
9606	Homo sapiens	3643	0	live	INSR	CD220, HHF5	insulin receptor	insulin receptor|IR	19p13.2	19	NC_000019.10	7112255	7294405	minus	22	147670	
9606	Homo sapiens	3667	0	live	IRS1	HIRS-1	insulin receptor substrate 1	insulin receptor substrate 1|IRS-1	2q36.3	2	NC_000002.12	226731317	226798790	minus	2	147545	
9606	Homo sapiens	3845	0	live	KRAS	C-K-RAS, CFC2, K-RAS2A, K-RAS2B, K-RAS4A, K-RAS4B, K-Ras, KI-RAS1, KRAS2, NS, NS3, RALD, RASK2, c-Ki-ras2, KRAS	KRAS proto-oncogene, GTPase	GTPase KRas|K-Ras 2|K-ras p21 protein|Kirsten rat sarcoma viral oncogene homolog|Kirsten rat sarcoma viral proto-oncogene|PR310 c-K-ras oncogene|c-Ki-ras|c-Kirsten-ras protein|cellular c-Ki-ras2 proto-oncogene|cellular transforming proto-oncogene|oncogene KRAS2|transforming protein p21|v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog	12p12.1	12	NC_000012.12	25204789	25252093	minus	8	190070	
9606	Homo sapiens	3991	0	live	LIPE	AOMS4, FPLD6, HSL, LHS	lipase E, hormone sensitive type	hormone-sensitive lipase|hormone-sensitive lipase testicular isoform|lipase, hormone-sensitive	19q13.2	19	NC_000019.10	42401507	42427426	minus	15	151750	
9606	Homo sapiens	4893	0	live	NRAS	ALPS4, CMNS, N-ras, NCMS1, NS6, NRAS	NRAS proto-oncogene, GTPase	GTPase NRas|N-ras protein part 4|neuroblastoma RAS viral (v-ras) oncogene homolog|neuroblastoma RAS viral oncogene homolog|transforming protein N-Ras|v-ras neuroblastoma RAS viral oncogene homolog	1p13.2	1	NC_000001.11	114704464	114716894	minus	7	164790	
9606	Homo sapiens	5105	0	live	PCK1	PCKDC, PEPCK-C, PEPCK1, PEPCKC	phosphoenolpyruvate carboxykinase 1	phosphoenolpyruvate carboxykinase, cytosolic [GTP]|PEP carboxykinase|phosphoenolpyruvate carboxykinase 1 (soluble)|phosphoenolpyruvate carboxykinase, cytosolic|phosphoenolpyruvate carboxylase|phosphopyruvate carboxylase	20q13.31	20	NC_000020.11	57561081	57566461	plus	10	614168	
9606	Homo sapiens	5106	0	live	PCK2	PEPCK, PEPCK-M, PEPCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial	phosphoenolpyruvate carboxykinase [GTP], mitochondrial|PEP carboxykinase|phosphopyruvate carboxylase	14q11.2-q12	14	NC_000014.9	24094131	24104132	plus	11	614095	
9606	Homo sapiens	5140	0	live	PDE3B	HcGIP1, cGIPDE1	phosphodiesterase 3B	cGMP-inhibited 3',5'-cyclic phosphodiesterase B|CGI-PDE B|CGIP1|cyclic GMP-inhibited phosphodiesterase B|cyclic nucleotide phosphodiesterase|phosphodiesterase 3B, cGMP-inhibited	11p15.2	11	NC_000011.10	14643691	14872059	plus	17	602047	
9606	Homo sapiens	5170	0	live	PDPK1	PDK1, PDPK2, PDPK2P, PRO0461	3-phosphoinositide dependent protein kinase 1	3-phosphoinositide-dependent protein kinase 1|3-phosphoinositide-dependent protein kinase 2 pseudogene|PkB kinase like gene 1	16p13.3	16	NC_000016.10	2537964	2603190	plus	17	605213	
9606	Homo sapiens	5255	0	live	PHKA1	PHKA	phosphorylase kinase regulatory subunit alpha 1	phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform|phosphorylase kinase alpha M subunit|phosphorylase kinase, alpha 1 (muscle), muscle glycogenosis	Xq13.1	X	NC_000023.11	72578814	72714181	minus	32	311870	
9606	Homo sapiens	5256	0	live	PHKA2	GSD9A, PHK, PYK, PYKL, XLG, XLG2	phosphorylase kinase regulatory subunit alpha 2	phosphorylase b kinase regulatory subunit alpha, liver isoform|phosphorylase kinase alpha L subunit|phosphorylase kinase alpha-subunit|phosphorylase kinase, alpha 2 (liver)	Xp22.13	X	NC_000023.11	18892298	18984362	minus	34	300798	
9606	Homo sapiens	5257	0	live	PHKB		phosphorylase kinase regulatory subunit beta	phosphorylase b kinase regulatory subunit beta|phosphorylase kinase beta-subunit|phosphorylase kinase subunit beta|phosphorylase kinase, beta	16q12.1	16	NC_000016.10	47461131	47701523	plus	35	172490	
9606	Homo sapiens	5260	0	live	PHKG1	PHKG	phosphorylase kinase catalytic subunit gamma 1	phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform|PHK-gamma-M|phosphorylase b kinase gamma catalytic chain, skeletal muscle isoform|phosphorylase kinase gamma subunit 1|phosphorylase kinase subunit gamma-1|phosphorylase kinase, gamma 1 (muscle)|serine/threonine-protein kinase PHKG1	7p11.2	7	NC_000007.14	56079927	56093450	minus	13	172470	
9606	Homo sapiens	5261	0	live	PHKG2	GSD9C	phosphorylase kinase catalytic subunit gamma 2	phosphorylase b kinase gamma catalytic chain, liver/testis isoform|PHK-gamma-LT|PHK-gamma-T|PSK-C3|Phosphorylase kinase, gamma 2 (testis/liver)|phosphorylase b kinase gamma catalytic chain, testis/liver isoform|phosphorylase kinase gamma subunit 2|phosphorylase kinase subunit gamma-2|phosphorylase kinase, gamma 2 (testis)|serine/threonine-protein kinase PHKG2	16p11.2	16	NC_000016.10	30748299	30761176	plus	10	172471	
9606	Homo sapiens	5290	0	live	PIK3CA	CLOVE, CWS5, MCAP, MCM, MCMTC, PI3K, PI3K-alpha, p110-alpha	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform|PI3-kinase p110 subunit alpha|phosphatidylinositol 3-kinase, catalytic, 110-KD, alpha|phosphatidylinositol 3-kinase, catalytic, alpha polypeptide|phosphatidylinositol-4,5-bisphosphate 3-kinase 110 kDa catalytic subunit alpha|phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit, alpha isoform|phosphoinositide-3-kinase, catalytic, alpha polypeptide|ptdIns-3-kinase subunit p110-alpha|serine/threonine protein kinase PIK3CA	3q26.32	3	NC_000003.12	179148114	179240093	plus	23	171834	
9606	Homo sapiens	5291	0	live	PIK3CB	P110BETA, PI3K, PI3KBETA, PIK3C1	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform|PI3-kinase p110 subunit beta|PI3-kinase subunit beta|PI3K-beta|PtdIns-3-kinase p110|phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit beta|phosphoinositide-3-kinase, catalytic, beta polypeptide|ptdIns-3-kinase subunit beta|ptdIns-3-kinase subunit p110-beta	3q22.3	3	NC_000003.12	138652698	138834938	minus	27	602925	
9606	Homo sapiens	5293	0	live	PIK3CD	APDS, IMD14, P110DELTA, PI3K, p110D	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform|PI3-kinase p110 subunit delta|PI3Kdelta|phosphatidylinositol-4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta|phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta isoform|phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta short variant 20|phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta short variant 8|phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta short variant 8/20|phosphoinositide-3-kinase C|phosphoinositide-3-kinase, catalytic, delta polypeptide variant p37delta|ptdIns-3-kinase subunit p110-delta	1p36.22	1	NC_000001.11	9629889	9729114	plus	30	602839	
9606	Homo sapiens	5295	0	live	PIK3R1	AGM7, GRB1, IMD36, p85, p85-ALPHA	phosphoinositide-3-kinase regulatory subunit 1	phosphatidylinositol 3-kinase regulatory subunit alpha|PI3-kinase subunit p85-alpha|PI3K regulatory subunit alpha|phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha|phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)|phosphatidylinositol 3-kinase-associated p-85 alpha|phosphoinositide-3-kinase regulatory subunit alpha|phosphoinositide-3-kinase, regulatory subunit 1 (alpha)|ptdIns-3-kinase regulatory subunit alpha	5q13.1	5	NC_000005.10	68215737	68301821	plus	22	171833	
9606	Homo sapiens	5296	0	live	PIK3R2	MPPH, MPPH1, P85B, p85, p85-BETA	phosphoinositide-3-kinase regulatory subunit 2	phosphatidylinositol 3-kinase regulatory subunit beta|PI3-kinase subunit p85-beta|PI3K regulatory subunit beta|phosphatidylinositol 3-kinase 85 kDa regulatory subunit beta|phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 2 (p85 beta)|phosphoinositide-3-kinase regulatory subunit beta|phosphoinositide-3-kinase, regulatory subunit 2 (beta)|ptdIns-3-kinase regulatory subunit p85-beta	19p13.11	19	NC_000019.10	18153178	18170533	plus	16	603157	
9606	Homo sapiens	5313	0	live	PKLR	PK1, PKL, PKR, PKRL, RPK	pyruvate kinase L/R	pyruvate kinase PKLR|R-type/L-type pyruvate kinase|pyruvate kinase 1|pyruvate kinase isozyme R/L|pyruvate kinase isozymes L/R|pyruvate kinase isozymes R/L|pyruvate kinase type L|pyruvate kinase, liver and RBC|pyruvate kinase, liver and blood cell|red cell/liver pyruvate kinase	1q22	1	NC_000001.11	155289293	155301434	minus	12	609712	
9606	Homo sapiens	5499	0	live	PPP1CA	PP-1A, PP1A, PP1alpha, PPP1A	protein phosphatase 1 catalytic subunit alpha	serine/threonine-protein phosphatase PP1-alpha catalytic subunit|protein phosphatase 1, catalytic subunit, alpha isoform|protein phosphatase 1, catalytic subunit, alpha isozyme|serine/threonine protein phosphatase PP1-alpha 1 catalytic subunit|testicular tissue protein Li 155	11q13.2	11	NC_000011.10	67398181	67401905	minus	7	176875	
9606	Homo sapiens	5500	0	live	PPP1CB	HEL-S-80p, NSLH2, PP-1B, PP1B, PP1beta, PPP1CD	protein phosphatase 1 catalytic subunit beta	serine/threonine-protein phosphatase PP1-beta catalytic subunit|epididymis secretory sperm binding protein Li 80p|protein phosphatase 1, catalytic subunit, beta isoform|protein phosphatase 1, catalytic subunit, beta isozyme|protein phosphatase 1, catalytic subunit, delta isoform|protein phosphatase 1-beta|protein phosphatase 1-delta	2p23.2	2	NC_000002.12	28751748	28802940	plus	9	600590	
9606	Homo sapiens	5501	0	live	PPP1CC	PP-1G, PP1C, PPP1G	protein phosphatase 1 catalytic subunit gamma	serine/threonine-protein phosphatase PP1-gamma catalytic subunit|protein phosphatase 1, catalytic subunit, gamma isoform|protein phosphatase 1, catalytic subunit, gamma isozyme|protein phosphatase 1C catalytic subunit|serine/threonine phosphatase 1 gamma	12q24.11	12	NC_000012.12	110708369	110742978	minus	10	176914	
9606	Homo sapiens	5506	0	live	PPP1R3A	GM, PP1G, PPP1R3	protein phosphatase 1 regulatory subunit 3A	protein phosphatase 1 regulatory subunit 3A|RG1|glycogen and sarcoplasmic reticulum binding subunit, skeletal muscle|glycogen-associated regulatory subunit of protein phosphatase-1|protein phosphatase 1 glycogen- associated regulatory subunit|protein phosphatase 1 regulatory subunit GM|protein phosphatase 1, regulatory (inhibitor) subunit 3A|protein phosphatase type-1 glycogen targeting subunit|serine /threonine specific protein phosphatase|type-1 protein phosphatase skeletal muscle glycogen targeting subunit	7q31.1	7	NC_000007.14	113876827	113919094	minus	4	600917	
9606	Homo sapiens	5507	0	live	PPP1R3C	PPP1R5, PTG	protein phosphatase 1 regulatory subunit 3C	protein phosphatase 1 regulatory subunit 3C|PP1 subunit R5|Phosphatase 1, regulatory inhibitor subunit 5|protein phosphatase 1 regulatory subunit 5|protein phosphatase 1, regulatory (inhibitor) subunit 3C|protein targeting to glycogen	10q23.32	10	NC_000010.11	91628440	91633101	minus	2	602999	
9606	Homo sapiens	5509	0	live	PPP1R3D	PPP1R6	protein phosphatase 1 regulatory subunit 3D	protein phosphatase 1 regulatory subunit 3D|PP1 subunit R6|protein phosphatase 1 regulatory subunit 6|protein phosphatase 1, regulatory (inhibitor) subunit 3D|protein phosphatase 1, regulatory subunit 6, spinophilin|protein phosphatase 1-binding subunit R6	20q13.33	20	NC_000020.11	59936832	59940297	minus	1	603326	
9606	Homo sapiens	5562	0	live	PRKAA1	AMPK, AMPKa1	protein kinase AMP-activated catalytic subunit alpha 1	5'-AMP-activated protein kinase catalytic subunit alpha-1|5'-AMP-activated protein kinase, catalytic alpha-1 chain|ACACA kinase|AMP -activate kinase alpha 1 subunit|AMP-activated protein kinase, catalytic, alpha-1|AMPK alpha 1|AMPK subunit alpha-1|HMGCR kinase|acetyl-CoA carboxylase kinase|hydroxymethylglutaryl-CoA reductase kinase|protein kinase, AMP-activated, alpha 1 catalytic subunit|tau-protein kinase PRKAA1	5p13.1	5	NC_000005.10	40759379	40798195	minus	11	602739	
9606	Homo sapiens	5563	0	live	PRKAA2	AMPK, AMPK2, AMPKa2, PRKAA	protein kinase AMP-activated catalytic subunit alpha 2	5'-AMP-activated protein kinase catalytic subunit alpha-2|5'-AMP-activated protein kinase, catalytic alpha-2 chain|ACACA kinase|AMP-activated protein kinase alpha-2 subunit variant 2|AMP-activated protein kinase alpha-2 subunit variant 3|AMPK alpha 2|AMPK subunit alpha-2|AMPK-alpha-2 chain|HMGCR kinase|acetyl-CoA carboxylase kinase|hydroxymethylglutaryl-CoA reductase kinase|protein kinase, AMP-activated, alpha 2 catalytic subunit	1p32.2	1	NC_000001.11	56645317	56715335	plus	12	600497	
9606	Homo sapiens	5564	0	live	PRKAB1	AMPK, HAMPKb	protein kinase AMP-activated non-catalytic subunit beta 1	5'-AMP-activated protein kinase subunit beta-1|5'-AMP-activated protein kinase beta-1 subunit|AMP-activated protein kinase beta subunit|AMPK beta -1 chain|AMPK beta 1|AMPK subunit beta-1|AMPKb|protein kinase, AMP-activated, beta 1 non-catalytic subunit|protein kinase, AMP-activated, noncatalytic, beta-1	12q24.23	12	NC_000012.12	119667864	119681624	plus	7	602740	
